extension,UTI,preferred_extension
sdp,org.openoffice.presentation,sxi
sdv,public.3gpp,3gp
sdw,org.openoffice.text,sxw
sd2,com.digidesign.sd2-audio,sd2
sea,com.stuffit.archive.sit,sit
sf2,com.soundblaster.soundfont,sf2
sgi,com.sgi.sgi-image,sgi
sit,com.stuffit.archive.sit,sit
sks,com.apple.spritekit.serialized,sks
slk,com.microsoft.excel.slk,slk
slm,com.apple.photos.slow-motion-video-sidecar,slm
smf,public.midi-audio,midi
snd,public.au-audio,au
son,com.apple.logic.notator,son
spx,com.apple.systemprofiler.document,spx
srf,com.sony.raw-image,srf
srw,com.samsung.raw-image,srw
sr2,com.sony.sr2-raw-image,sr2
stc,org.openoffice.spreadsheet-template,stc
std,org.openoffice.graphics-template,std
sti,org.openoffice.presentation-template,sti
stl,public.standard-tesselated-geometry-format,stl
